shop,type,num_malls,num_outlets,malls
Pierre Cardin,Retail,10,10,"AMK Hub, Bedok Mall, Hougang Mall, Jem, Jurong Point, Northpoint City, PLQ Mall, Sengkang Grand Mall, Suntec City, Velocity@Novena Square"
Q & M Dental Surgery,Retail,10,10,"Bedok Mall, Century Square, Hougang Mall, IMM Building, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Velocity@Novena Square, White Sands"
SKP,Retail,10,10,"AMK Hub, Causeway Point, Hougang Mall, Junction 8, Jurong Point, Lot One Shoppers' Mall, PLQ Mall, Tiong Bahru Plaza, Waterway Point, White Sands"
SkinGO!,Retail,10,10,"City Square Mall, Hougang Mall, Junction 8, Jurong Point, Marina Square, Northpoint City, Plaza Singapura, Tampines 1, Tiong Bahru Plaza, United Square"
Timezone,Retail,10,10,"Causeway Point, City Square Mall, Hougang Mall, Jurong Point, Marina Square, Northpoint City, Plaza Singapura, VivoCity, Waterway Point, Westgate"
Valu$,Retail,10,10,"City Square Mall, Hougang Mall, Jurong Point, Northpoint City, PLQ Mall, Sengkang Grand Mall, Tampines 1, Tiong Bahru Plaza, Waterway Point, White Sands"
DBS,Retail,9,10,"Bugis Junction (Part of Bugis Town), Junction 8, Ngee Ann City, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, The Shoppes at Marina Bay Sands, Westgate"
Sephora,Retail,9,10,"Bugis+ (Part of Bugis Town), Causeway Point, ION Orchard, Ngee Ann City, Plaza Singapura, Raffles City Shopping Centre, The Shoppes at Marina Bay Sands, VivoCity, Westgate"
Stalford Learning Centre,Retail,9,10,"AMK Hub, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Sengkang Grand Mall, Tampines Mall, Tiong Bahru Plaza, Westgate, White Sands"
ASICS,Retail,9,9,"Bugis Junction (Part of Bugis Town), ION Orchard, Jewel Changi Airport, Paragon, Plaza Singapura, Suntec City, Velocity@Novena Square, VivoCity, Westgate"
EC House,Retail,9,9,"Bedok Mall, Junction 8, Jurong Point, Lot One Shoppers' Mall, Swing By @ Thomson Plaza, United Square, Velocity@Novena Square, West Coast Plaza, Westgate"
Gain City,Retail,9,9,"Bedok Mall, Causeway Point, Funan, IMM Building, Marina Square, Northpoint City, Tampines 1, VivoCity, Waterway Point"
Minmed Clinic,Retail,9,9,"Bedok Mall, City Square Mall, Jem, Northpoint City, One Holland Village, Sengkang Grand Mall, United Square, Waterway Point, White Sands"
Mister Minit,Retail,9,9,"Causeway Point, Great World, Hougang Mall, Ngee Ann City, Northpoint City, Plaza Singapura, VivoCity, Waterway Point, Westgate"
QB House,Retail,9,9,"AMK Hub, City Square Mall, Hougang 1, Jem, Jurong Point, PLQ Mall, Square 2, Tiong Bahru Plaza, VivoCity"
Samsonite,Retail,9,9,"Bugis+ (Part of Bugis Town), ION Orchard, Jem, Jewel Changi Airport, Marina Square, Plaza Singapura, Suntec City, The Shoppes at Marina Bay Sands, VivoCity"
Sans & Sans,Retail,9,9,"Bugis Junction (Part of Bugis Town), Jem, Junction 8, Marina Square, Ngee Ann City, Square 2, Suntec City, VivoCity, Wisma Atria"
Sorella,Retail,9,9,"AMK Hub, Bedok Mall, Century Square, Hougang Mall, Jurong Point, Northpoint City, Waterway Point, Westgate, White Sands"
Stryv,Retail,9,9,"Causeway Point, ION Orchard, Junction 8, Jurong Point, Northpoint City, PLQ Mall, Suntec City, VivoCity, White Sands"
Swarovski,Retail,9,9,"Jem, Paragon, Plaza Singapura, Raffles City Shopping Centre, Suntec City, Tampines Mall, The Shoppes at Marina Bay Sands, VivoCity, Wisma Atria"
"TOYS""R""US",Retail,9,9,"Bugis Junction (Part of Bugis Town), City Square Mall, Great World, Jem, Jewel Changi Airport, Paragon, Tampines Mall, United Square, VivoCity"
Anytime Fitness,Retail,8,8,"City Square Mall, Greenwich V, HillV2, Jurong Point, Suntec City, Tiong Bahru Plaza, Valley Point, West Coast Plaza"
Cotton On Kids,Retail,8,8,"City Square Mall, Great World, Northpoint City, Plaza Singapura, United Square, VivoCity, Waterway Point, Wisma Atria"
Daiso,Retail,8,8,"Bugis Junction (Part of Bugis Town), Great World, ION Orchard, Jurong Point, Plaza Singapura, Swing By @ Thomson Plaza, Tampines 1, West Coast Plaza"
ECCO,Retail,8,8,"ION Orchard, Jewel Changi Airport, Plaza Singapura, Suntec City, Tampines Mall, The Shoppes at Marina Bay Sands, VivoCity, Westgate"
Kaleido,Retail,8,8,"Bugis Junction (Part of Bugis Town), Causeway Point, ION Orchard, Tampines 1, Tampines Mall, VivoCity, Waterway Point, Wisma Atria"
L'OCCITANE,Retail,8,8,"ION Orchard, Northpoint City, Paragon, Plaza Singapura, Raffles City Shopping Centre, Tampines Mall, VivoCity, Westgate"
LANEIGE,Retail,8,8,"Bugis Junction (Part of Bugis Town), Junction 8, Jurong Point, Northpoint City, Tampines Mall, Waterway Point, Westgate, Wisma Atria"
MANGO,Retail,8,8,"313@somerset, ION Orchard, Jem, Marina Square, PLQ Mall, Raffles City Shopping Centre, VivoCity, Wisma Atria"
MoneyMax,Retail,8,8,"Causeway Point, Hougang Mall, IMM Building, Jem, Jurong Point, Northpoint City, Waterway Point, White Sands"
Ogawa,Retail,8,8,"Causeway Point, Century Square, Great World, Junction 8, Jurong Point, Northpoint City, Suntec City, VivoCity"
Poh Heng Jewellery,Retail,8,8,"Causeway Point, Hougang Mall, IMM Building, Jem, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Tiong Bahru Plaza"
RAY-BAN,Retail,8,8,"313@somerset, Funan, ION Orchard, Jewel Changi Airport, Plaza Singapura, Suntec City, The Shoppes at Marina Bay Sands, VivoCity"
Sunnystep,Retail,8,8,"Bugis Junction (Part of Bugis Town), Causeway Point, ION Orchard, Jurong Point, Square 2, Tampines Mall, VivoCity, Westgate"
Tech House,Retail,8,8,"Causeway Point, Junction 8, Jurong Point, Suntec City, Tampines Mall, Velocity@Novena Square, VivoCity, Westgate"
Xpressflower.com,Retail,8,8,"AMK Hub, Bedok Mall, Causeway Point, Jurong Point, Northpoint City, Plaza Singapura, Tampines Mall, VivoCity"
Bank Of China,Retail,7,7,"AMK Hub, Bedok Mall, Causeway Point, Tampines 1, Tiong Bahru Plaza, Waterway Point, Westgate"
Birkenstock,Retail,7,7,"Bugis Junction (Part of Bugis Town), ION Orchard, Jewel Changi Airport, Paragon, Suntec City, The Shoppes at Marina Bay Sands, VivoCity"
CARs International,Retail,7,7,"City Square Mall, Lot One Shoppers' Mall, Marina Square, Raffles City Shopping Centre, Suntec City, Tampines Mall, Waterway Point"
CS Fresh,Retail,7,7,"Bugis Junction (Part of Bugis Town), Greenwich V, HillV2, One Holland Village, Plaza Singapura, Raffles City Shopping Centre, United Square"
Chomel,Retail,7,7,"Great World, ION Orchard, Jem, Jewel Changi Airport, Junction 8, Northpoint City, Suntec City"
Concierge (Waterway Point),Retail,7,7,"Century Square, Hougang Mall, Tampines 1, The Centrepoint, Tiong Bahru Plaza, Waterway Point, White Sands"
INNISFREE,Retail,7,7,"Causeway Point, Jem, Junction 8, Ngee Ann City, PLQ Mall, Plaza Singapura, Tampines Mall"
KIMOJ,Retail,7,7,"Bugis+ (Part of Bugis Town), Causeway Point, City Square Mall, Funan, PLQ Mall, The Centrepoint, Westgate"
Kin Teck Tong,Retail,7,7,"Bedok Mall, Century Square, Jem, Junction 8, Northpoint City, Plaza Singapura, Sengkang Grand Mall"
"Love, Bonito",Retail,7,7,"313@somerset, Funan, ION Orchard, Jem, Tampines 1, VivoCity, Waterway Point"
