brand,segment,provenance,outlets
Koong Woh Tong,F&B,Unknown,2
Ministry of Rojak,F&B,Unknown,2
Namu Bulgogi,F&B,Unknown,2
OMEGA PORK NOODLE,F&B,Unknown,2
Tangled,F&B,Unknown,2
The Original Vadai,F&B,Unknown,2
Tonkotsu Kazan Ramen,F&B,Unknown,2
Xin Wang Hong Kong Café,F&B,Unknown,2
XW Plus Western Grill,F&B,Unknown,2
Au Croissant,F&B,Unknown,2
Hototogisu Ramen,F&B,Unknown,2
Paik's Noodle,F&B,Unknown,2
Pasta Play,F&B,Unknown,2
So Do Fun,F&B,Unknown,2
umisushi,F&B,Unknown,2
Lau Wang Claypot Delights,F&B,Unknown,2
Monster Planet,F&B,Unknown,2
Nippon Bite,F&B,Unknown,2
Butahage,F&B,Unknown,2
Dickson Nasi Lemak,F&B,Unknown,2
My Korean Mom’s Kimchi,F&B,Unknown,2
Grill N Grill,F&B,Unknown,2
Jia Li Seafood Soup,F&B,Unknown,2
Ramen Hitoyoshi,F&B,Unknown,2
Beauty in The Pot,F&B,Unknown,2
TORA-SAN,F&B,Unknown,2
Brotzeit German Bier Bar & Restaurant,F&B,Unknown,2
JASONS DELI,F&B,Unknown,2
LÄDERACH (LADERACH),F&B,Unknown,2
MARUTAMA RAMEN,F&B,Unknown,2
POCHA! KOREAN STREET DINING,F&B,Unknown,2
SEN-RYO,F&B,Unknown,2
THE 1872 CLIPPER TEA CO.,F&B,Unknown,2
A&W,F&B,Foreign,2
Baba Nyonya,F&B,Unknown,2
BHC Chicken,F&B,Unknown,2
Imperial Treasure Super Peking Duck,F&B,Unknown,2
Mrs Pho,F&B,Unknown,2
Queic by Olivia,F&B,Unknown,2
Tai Er Suancai & Fish,F&B,Unknown,2
Tsui Wah,F&B,Unknown,2
Tutto by Da Paolo,F&B,Unknown,2
SHI LI FANG,F&B,Unknown,2
BARCOOK BAKERY,F&B,Unknown,2
BLU JAZ,F&B,Unknown,2
SIAM SQUARE MOOKATA (TEMPORARILY CLOSED),F&B,Unknown,2
BAKERY CUISINE EXPRESS,F&B,Unknown,2
TOMI SUSHI,F&B,Unknown,2
CHILCHIL THAI STREET KITCHEN,F&B,Unknown,2
NEW NANYANG,F&B,Unknown,2
JI DE CHI & OTTER PIZZA,F&B,Unknown,2
BAKEINC,F&B,Unknown,2
HABIT,F&B,Unknown,2
NATURE'S NUTRITION,F&B,Unknown,2
VIETSMITH,F&B,Unknown,2
ISHIRO FUSHION BOWL (TEMPORARILY CLOSED),F&B,Unknown,2
MATSUKIYA,F&B,Unknown,2
TSUJIRI PREMIUM,F&B,Unknown,2
KILLINEY,F&B,Unknown,2
MADAM ANG KK,F&B,Unknown,2
BreadTalk / Toastbox,F&B,Unknown,2
CROLO by Swee Heng,F&B,Unknown,2
Don Don Donki,F&B,Foreign,2
Fragrance Bak Kwa,F&B,Unknown,2
Ghost Kakigori,F&B,Unknown,2
Hi Noodle,F&B,Unknown,2
Juice Farm,F&B,Unknown,2
Popeyes Famous Louisiana Chicken,F&B,Unknown,2
Sushi-GO(&JOY Japanese Food Street ),F&B,Unknown,2
Thye Moh Chan,F&B,Unknown,2
Yakiniku-Go,F&B,Unknown,2
Playground by Playmade,F&B,Unknown,2
Betsubara,F&B,Unknown,2
Beyond Pancakes,F&B,Unknown,2
Nong Geng Ji Hunan Home-Style Cuisine,F&B,Unknown,2
Yi Zun Noodle,F&B,Unknown,2
Compose Coffee,F&B,Unknown,2
HarriAnns Nonya Table,F&B,Unknown,2
Candy Empire,F&B,Unknown,2
Ben's Cookies,F&B,Unknown,2
SUPER SUB,F&B,Unknown,2
COCA,F&B,Unknown,2
LONGJING,F&B,Unknown,2
Marché,F&B,Unknown,2
Meet 2 Wine Bar & Restaurant,F&B,Unknown,2
Re.juve,F&B,Unknown,2
The Bread Club,F&B,Unknown,2
1855 The Bottle Shop,F&B,Unknown,2
Old Seng Choong,F&B,Unknown,2
Tofu G,F&B,Unknown,2
HONEYWORLD®,F&B,Unknown,2
SALADSTOP!,F&B,Unknown,2
