shop,type,num_malls,num_outlets,malls
Gong Yuan Ma La Tang,F&B,11,11,"Century Square, Funan, Great World, IMM Building, Northpoint City, Square 2, Suntec City, The Centrepoint, Tiong Bahru Plaza, VivoCity, Waterway Point"
Guzman Y Gomez,F&B,11,11,"Funan, Great World, ION Orchard, Jewel Changi Airport, Northpoint City, One Holland Village, Suntec City, Velocity@Novena Square, VivoCity, Waterway Point, Westgate"
MOS Burger,F&B,11,11,"AMK Hub, Bedok Mall, Causeway Point, City Square Mall, Hougang Mall, Jem, Jurong Point, Northpoint City, The Centrepoint, Tiong Bahru Plaza, Waterway Point"
Munchi Pancakes,F&B,11,11,"AMK Hub, Bedok Mall, City Square Mall, Jewel Changi Airport, Junction 8, Lot One Shoppers' Mall, Northpoint City, Plaza Singapura, Tiong Bahru Plaza, Velocity@Novena Square, White Sands"
Sushi Express,F&B,11,11,"Century Square, Funan, Hougang Mall, IMM Building, Jurong Point, Northpoint City, PLQ Mall, Sengkang Grand Mall, Waterway Point, Westgate, White Sands"
Sushi Tei,F&B,11,11,"Jem, Jewel Changi Airport, Northpoint City, One Holland Village, Paragon, Raffles City Shopping Centre, Swing By @ Thomson Plaza, Tampines 1, Tiong Bahru Plaza, VivoCity, West Coast Plaza"
Swensen's,F&B,11,11,"AMK Hub, Bedok Mall, Bugis Junction (Part of Bugis Town), Causeway Point, IMM Building, Junction 8, Jurong Point, Northpoint City, Plaza Singapura, Tampines Mall, Waterway Point"
Auntie Anne's,F&B,10,10,"AMK Hub, Bugis Junction (Part of Bugis Town), Jem, Jewel Changi Airport, Northpoint City, PLQ Mall, Paragon, Plaza Singapura, VivoCity, Waterway Point"
EAT.,F&B,10,10,"Bedok Mall, Century Square, City Square Mall, Jurong Point, Lot One Shoppers' Mall, Northpoint City, PLQ Mall, Square 2, Tiong Bahru Plaza, Westgate"
Famous Amos,F&B,10,10,"AMK Hub, Causeway Point, Jem, Jurong Point, Northpoint City, Plaza Singapura, Tampines Mall, Waterway Point, White Sands, Wisma Atria"
Jollibee,F&B,10,10,"AMK Hub, Bedok Mall, Century Square, City Square Mall, Hougang Mall, Jurong Point, Square 2, Suntec City, VivoCity, Waterway Point"
Krispy Kreme,F&B,10,10,"AMK Hub, Bugis Junction (Part of Bugis Town), Century Square, Great World, IMM Building, Jewel Changi Airport, Northpoint City, Paragon, Suntec City, VivoCity"
Nam Kee Pau,F&B,10,10,"Bedok Mall, City Square Mall, Junction 8, Northpoint City, PLQ Mall, Tiong Bahru Plaza, United Square, Valley Point, VivoCity, Waterway Point"
PUTIEN,F&B,10,10,"Great World, Jewel Changi Airport, Jurong Point, Marina Square, Northpoint City, Suntec City, Tampines Mall, VivoCity, Waterway Point, Westgate"
Sushiro,F&B,10,10,"Bedok Mall, Causeway Point, Jewel Changi Airport, Lot One Shoppers' Mall, Square 2, Suntec City, Tampines 1, Tiong Bahru Plaza, Waterway Point, Wisma Atria"
COLLIN’S®,F&B,9,9,"Great World, Jurong Point, Marina Square, Northpoint City, PLQ Mall, Sengkang Grand Mall, Tampines 1, VivoCity, Westgate"
Cedele,F&B,9,9,"Greenwich V, HillV2, IMM Building, PLQ Mall, Paragon, Raffles City Shopping Centre, Velocity@Novena Square, VivoCity, Waterway Point"
Gochi-So Shokudo,F&B,9,9,"Bedok Mall, Bugis Junction (Part of Bugis Town), Jewel Changi Airport, Northpoint City, Plaza Singapura, Square 2, Tampines 1, Westgate, Wisma Atria"
KAZO,F&B,9,9,"AMK Hub, Century Square, Funan, Jem, Jurong Point, Northpoint City, Sengkang Grand Mall, Suntec City, VivoCity"
KOI THE,F&B,9,9,"AMK Hub, Aperia Mall, Bedok Mall, Bugis+ (Part of Bugis Town), Funan, ION Orchard, Jurong Point, Plaza Singapura, Westgate"
Mister Donut,F&B,9,9,"313@somerset, Junction 8, Jurong Point, Northpoint City, Swing By @ Thomson Plaza, Tampines 1, Velocity@Novena Square, VivoCity, Waterway Point"
Monster Curry,F&B,9,9,"Bugis Junction (Part of Bugis Town), ION Orchard, Jewel Changi Airport, Jurong Point, Northpoint City, Suntec City, Velocity@Novena Square, VivoCity, Waterway Point"
Pezzo,F&B,9,9,"Bedok Mall, Causeway Point, Hougang Mall, Jurong Point, Lot One Shoppers' Mall, Northpoint City, Tampines 1, Waterway Point, White Sands"
